PROD_NAME	RELEASE	PROD_STAT	SRC_MNGMT_TOOL	ENDEVOR_PRODUCT	NON_MAINFRAME_SRC_PHYS_LOC	APPROVERS_PMFKEY	ERC	SEM	SCAS  
1	12;12.6;11.5;14.0	Active	CSCRE/Endevor	"CA1,CTS,GATE"	The source resides on Endevor pool volumes MOTMxx;SMDxxx and ASMxxx volumes accessible from TSO1;CA11 and CA31.;Islandia Data Center	"[{""PMFKEY"":""mayja07""},{""PMFKEY"":""casjo02""},{""PMFKEY"":""yeomi01""},{""PMFKEY"":""carju01""}]"	hodda01	mayja07	casjo02
7	r11.1;r11.3;r12.0	Active	CSCRE/Endevor;MOTM/Endevor	CA7	N/A	"[{""PMFKEY"":""simdo01""},{""PMFKEY"":""macco01""},{""PMFKEY"":""hawba03""}]"	madmi06	simdo01	macco01;hawba03
11	r3.0; r11	Active	CSCRE/Endevor	AL7	N/A	"[{""PMFKEY"":""simdo01""},{""PMFKEY"":""macco01""},{""PMFKEY"":""davfe01""}]"	madmi06	simdo01	macco01;davfe01
(CATE) Tape Encryption	14.5;14.0;12.6;12.0	Active	CSCRE/Endevor	"CATE,GATE"	Islandia Data Center;Lisle DR location - Replicated	"[{""PMFKEY"":""mayja07""},{""PMFKEY"":""casjo02""},{""PMFKEY"":""carju01""}]"	hodda01	mayja07	casjo02
"7 Distributed Components (Job Flow Illustrator, CPS)"	r11.1;r11.3;r12.0	Active	CSCR/Harvest	null	CSCSR102	"[{""PMFKEY"":""simdo01""},{""PMFKEY"":""macco01""},{""PMFKEY"":""hawba03""}]"	madmi06	simdo01	macco01;hawba03
ACCUCHECK	1.2	Active	CSCRE/Endevor	null	The source resides on CSCR** pool volumes accessible from TSO1;CA11 and CA31.	"[{""PMFKEY"":""mayja07""},{""PMFKEY"":""casjo02""},{""PMFKEY"":""hurro01""}]"	hodda01	mayja07	casjo02
ACF2 for z/OS	r14;r15	Active	Endevor;PDS	ACF	Islandia	"[{""PMFKEY"":""petja04""}]"	hodda01	cheje18	pflda02
ACM	2.3	Stabilized	CSCR/Harvest	null	CSCR806/ACM	"[{""PMFKEY"":""cafjo01""},{""PMFKEY"":""stoda04""}]"	hodda01	stoda04	cafjo01
Aion BRE	11	Active	CSCR/Harvest;Endevor	AION	"CSCR105/AionRM10.2_Level2,AionJRE,AionJRE_for_10.3,CPAS4.0,Aion10.2_Level2"	"[{""PMFKEY"":""svami01""}]"	hodda01	svami01	watke08
Aion Rule Manager (many platforms)	11	Active	CSCR/Harvest		"CSCR105/Aion BRE Prototypes,Aion RM Prototypes,Aion10.2PlusOracle"	"[{""PMFKEY"":""svami01""}]"	hodda01	svami01	watke08
"Allegheny Collector, Asset Converter"		Active	CSCR/Harvest	null	"CSCR702/Allegheny Collector,Asset Converter - Anderson,SE Asset Converter"	"[{""PMFKEY"":""vakmo01""},{""PMFKEY"":""vensu02""}]"		vensu02	vakmo01
Allocate	12.5;12.0;11.5	Active	CSCRE/Endevor	ALLOC	The source resides on CSCR** pool volumes accessible from TSO1;CA11 and CA31 or for release 12.6 from Endevor MOTM** volumes;The source resides on SMD*** pool volumes accessible from TSO1;CA11 and CA31 or for release 12.5 from Endevor MOTM** volumes.	"[{""PMFKEY"":""mayja07""},{""PMFKEY"":""casjo02""},{""PMFKEY"":""hurro01""}]"	hodda01	mayja07	casjo02
Analyzer Common	r12;r14;r14.5;r15;16.0;17.0;999;18.0;19.0	Internal	SCLM;Endevor	DBT	Source resides on DEV DASD packs.;The GA releases of the datasets are stored on DEVR volumes which are tier-1 backed up DASD volumes.   For the pre-beta and BETA releases;the datasets are allocated on DEV volumes which are not part of DR.    When the products are moved into GA;the datasets are moved to the DEVR volumes.	"[{""PMFKEY"":""tucjo02""},{""PMFKEY"":""eduja01""}]"	hodda01	eduja01	tucjo02
Applications Configuration Manager / CA Configuration Automation Catalyst Connectors	12.8;trunk	Active	CSCR/Harvest	null	CSCR709/cca	"[{""PMFKEY"":""minni01""}]"		minni01	
ASM2	4.2	Active	CSCRE/Endevor	null	Islandia Data Center;Lisle DR Center - volumes replicated	"[{""PMFKEY"":""mayja07""},{""PMFKEY"":""casjo02""},{""PMFKEY"":""hurro01""}]"	hodda01	mayja07	casjo02
Astex	2.8	Active	CSCRE/Endevor	ASTEX	"The SMD volume pool on z/OS which is accessible from TSO1, CA11, CA31 and others. SCCS only on TSO1. "	"[{""PMFKEY"":""mayja07""},{""PMFKEY"":""casjo02""},{""PMFKEY"":""hurro01""}]"	hodda01	mayja07	casjo02
Auditor - Common Srvcs (CAECIS)	r12;r12.1	Active	PDS;Endevor	AUDIT	Islandia	"[{""PMFKEY"":""petja04""}]"	hodda01	cheje18	petja04
AutoSys	r11	Active	CSCR/Harvest	null	CSCR109				
AutoSys	r11.3*	Active	CSCR/Harvest	null	"CSCR102/AutoSys, CSCR709/wa-autosys"	"[{""PMFKEY"":""minni01""},{""PMFKEY"":""badve01""}]"	madmi06	minni01	badve01
Batch Processor	r12;r14;r14.5;r15;16.0;17.0;999;18.0;19.0	Active	SCLM;Endevor	DBT	Source resides on DEV DASD packs.;The GA releases of the datasets are stored on DEVR volumes which are tier-1 backed up DASD volumes.   For the pre-beta and BETA releases;the datasets are allocated on DEV volumes which are not part of DR.    When the products are moved into GA;the datasets are moved to the DEVR volumes.	"[{""PMFKEY"":""tucjo02""},{""PMFKEY"":""eduja01""}]"	hodda01	eduja01	tucjo02
Bind Analyzer	r12;r14;r14.5;r15;16.0;17.0;999;18.0;19.0	Active	SCLM;Endevor	DBT	Source resides on DEV DASD packs.;The GA releases of the datasets are stored on DEVR volumes which are tier-1 backed up DASD volumes.   For the pre-beta and BETA releases;the datasets are allocated on DEV volumes which are not part of DR.    When the products are moved into GA;the datasets are moved to the DEVR volumes.	"[{""PMFKEY"":""tucjo02""},{""PMFKEY"":""eduja01""}]"	hodda01	eduja01	tucjo02
Blockmaster	2.2	Active	CSCRE/Endevor;PDS	null	Islandia Data Center;Lisle DR center - replicated volumes	"[{""PMFKEY"":""mayja07""},{""PMFKEY"":""casjo02""},{""PMFKEY"":""hurro01""}]"	hodda01	mayja07	casjo02
BUNDL	r5.0	Active	CSCRE/Endevor	BUNDL	N/A	"[{""PMFKEY"":""kokja01""},{""PMFKEY"":""raubr02""}]"	hodda01	kokja01	raubr02
CA Access Control		Active	CSCR/Harvest	null	"CSCR402/AC,FLASH,GORDON,HAWKEYE,SC"	"[{""PMFKEY"":""sarav02""},{""PMFKEY"":""matsu04""}]"		matsu04	sarav02
CA APIM -Concierge - Orchestrator	r1.0	Active	CSCR/Harvest	null	CSCR807	"[{""PMFKEY"":""munbh01""}]"		bhara24	munbh01
CA Application Lifecycle Conductor	2.3.1;2.4;3.0 ir1	Active	CSCR/Harvest	null	CSCR606	"[{""PMFKEY"":""layro01""}]"		fagsc01	layro01
CA CATALYST / USM Connector Project / SSA	1.*2.0;2.5;3.0	Active	CSCR/Harvest	null	CSCR929	"[{""PMFKEY"":""taoyu04""}]"		merja01	taoyu04
CA CATALYST / USM Connector Project / SSA	1.7;trunk	Active	CSCR/Harvest	null	"CSCR709/spectrum-sa,ssa,nimsoft"	"[{""PMFKEY"":""taoyu04""}]"		merja01	taoyu04
CA Clarity PPM	13.0;13.1;13.2;13.3;14.1;14.2;14.3	Active	CSCR/Harvest	null	CSCR612	"[{""PMFKEY"":""papgo01""}]"		aruma01	papgo01
CA Clarity PPM Catalyst Connector	r14.2	Active	CSCR/Harvest	null	CSCR709/clarity	"[{""PMFKEY"":""papgo01""},{""PMFKEY"":""yadga02""}]"		aruma01	papgo01
CA CMDB	"11.0;11.1;11.2;12.0,;12.1"	Active	CSCR/Harvest	null	CSCR616/CA-CMDB	"[{""PMFKEY"":""vakmo01""},{""PMFKEY"":""vensu02""}]"		vensu02	vakmo01
CA LDAP	15.0;15.1	Active	SVN;Endevor	CAEIG	Lisle;IL	"[{""PMFKEY"":""petja04""}]"	hodda01	cheje18	pflda02
CA Web Administrator	15.0;Chorus 3.0;Chorus 4.0	Active	SVN;Endevor	"CAEIG,CAE1M"	Lisle;IL	"[{""PMFKEY"":""petja04""}]"	hodda01	cheje18	pflda02
CA WF	1.1.5 SP6	Active	CSCR/Harvest	null	CSCR110/Workflow	"[{""PMFKEY"":""vensu02""},{""PMFKEY"":""desan04""}]"		vensu02	desan04
"CAARDS 2.3,"									
"CAARDS 22SP2,"									
"CAARDS 22SP3,"									
"CAARDS 22SP4,"	"[{""PMFKEY"":""shuke01""},{""PMFKEY"":""stuce01""}]"	madmi06	shuke01	stuce01					
Catalog Facility Common	r12;r14;r14.5;r15;16.0;17.0;999;18.0;19.0	Internal	SCLM;Endevor	DBT	Source resides on DEV DASD packs.;The GA releases of the datasets are stored on DEVR volumes which are tier-1 backed up DASD volumes.   For the pre-beta and BETA releases;the datasets are allocated on DEV volumes which are not part of DR.    When the products are moved into GA;the datasets are moved to the DEVR volumes.	"[{""PMFKEY"":""tucjo02""},{""PMFKEY"":""eduja01""}]"	hodda01	eduja01	tucjo02
CCIPC	r2.1;r12.0;r12.1;r14.0;r14.1	Active	CSCR/Harvest	null	CSCR920	"[{""PMFKEY"":""lazth01""},{""PMFKEY"":""tunem01""}]"	fagsc01	tunem01	lazth01;tunem01;helke03
Change Manager Enterprise Workbench (CMEW)	r12   	Active	CSCR/Harvest	null	CSCR606	"[{""PMFKEY"":""kruju01""},{""PMFKEY"":""ricar01""},{""PMFKEY"":""melmi08""}]"	hodda01	kruju01	svami01;melmi08
Chorus	r3.0;r4.0	Active	CSCR/Harvest;CVS;RTC;MF 2.0 Endevor	"CHOIN,FLO"	CSCR702;RTC server: https://cscrrtc003.ca.com;TSO1 for CVS source control (Islandia data center)	"[{""PMFKEY"":""sajna02""}]"	madmi06	sajna02	sajna02
Chorus DB2 Database Mgmt Role	1.0;2.0;16.0;17.0;18.0;19.0	Active	CSCRE/Endevor;RTC server https://cscrtc03.ca.com	"FDB2,DBT"	Source Resides on DEV DASD packs  The GA releaase of the datasets are stored on DEVR volumes which are tier-1 backed up DASD volumes. For the pre-beta and BETA release the datasets are allocated on DEV volumes which are not part of DR.  When the products are moved into GA the datasets are moved to the DEVR volumes;Source also kept on RTC Server https://cscrrtc003.ca.com/ccm/	"[{""PMFKEY"":""tucjo02""},{""PMFKEY"":""eduja01""}]"	hodda01	eduja01	tucjo02
